Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
44901,Res,B,4-Feb,BARANOVSKY V.,    TBA,TBA,    TBA,3,0,n/a,1,0,X,Bookstore,,OPEN
44902,Res,C,4-Feb,CHEN L.,    TBA,TBA,    TBA,3,0,n/a,0,0,X,Bookstore,,OPEN
44903,Res,D,4-Feb,CRANSTON M.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44904,Res,E,4-Feb,DAVIS C.,    TBA,TBA,    TBA,20,0,n/a,0,0,X,Bookstore,,OPEN
44906,Res,F,4-Feb,ENCISO RUIZ G.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44907,Res,G,4-Feb,FERBER A.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44908,Res,H,4-Feb,FIGOTIN A.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44910,Res,I,4-Feb,FOREMAN M.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44912,Res,J,4-Feb,GOLDBRING I.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44914,Res,K,4-Feb,GORODETSKI A.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44915,Res,L,4-Feb,GUIDOTTI P.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44916,Res,M,4-Feb,HEZARI H.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44918,Res,N,4-Feb,STAFF,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44919,Res,O,4-Feb,JITOMIRSKAYA S.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44920,Res,P,4-Feb,KAPLAN N.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44921,Res,Q,4-Feb,KLEIN A.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44922,Res,R,4-Feb,KOMAROVA N.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44923,Res,S,4-Feb,KRUPCHYK K.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44926,Res,T,4-Feb,LI S.,    TBA,TBA,    TBA,4,0,n/a,0,0,X,Bookstore,,OPEN
44928,Res,U,4-Feb,LOWENGRUB J.,    TBA,TBA,    TBA,4,0,n/a,0,0,X,Bookstore,,OPEN
44929,Res,V,4-Feb,LU Z.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44930,Res,W,4-Feb,LUDWIG J.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44931,Res,X,4-Feb,MOONEY C.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44932,Res,Y,4-Feb,NIE Q.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44938,Res,Z,4-Feb,PANTANO A.,    TBA,TBA,    TBA,3,0,n/a,0,0,X,Bookstore,,OPEN
44939,Res,AA,4-Feb,PELAYO R.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
44940,Res,BB,4-Feb,SCHOEN R.,    TBA,TBA,    TBA,2,0,n/a,0,0,X,Bookstore,,OPEN
